TagName,Class1,Class2,TagClass
20-30,prep-time,miscellaneous,FALSE
25-35,prep-time,miscellaneous,FALSE
30-40,prep-time,miscellaneous,FALSE
35-45,prep-time,miscellaneous,FALSE
40-50,prep-time,miscellaneous,FALSE
45-55,prep-time,miscellaneous,FALSE
african,african,cuisine,TRUE
american,american,cuisine,TRUE
asian,asian,cuisine,TRUE
average-calorie-600-800,calorie,nutrition,FALSE
bacon,pork,protein,FALSE
balanced,unknown,unknown,FALSE
beef,beef,protein,TRUE
bison-ground,beef,protein,FALSE
bread,vegetarian,protein,FALSE
breast,unknown,unknown,FALSE
calamari,shellfish,protein,FALSE
challenging,difficulty,miscellaneous,FALSE
cheesy,taste,miscellaneous,FALSE
chef-table,unknown,unknown,FALSE
chicken,poultry,protein,FALSE
chicken-breast,poultry,protein,FALSE
chicken-ground,poultry,protein,FALSE
chicken-leg,poultry,protein,FALSE
chicken-thigh,poultry,protein,FALSE
chicken-wing,poultry,protein,FALSE
classic,reference,miscellaneous,FALSE
cod,fish,protein,FALSE
cold-dish,dish-type,miscellaneous,FALSE
composed-meal,unknown,unknown,FALSE
contains-alcohol,contains-alcohol,miscellaneous,TRUE
cornish-hen,unknown,unknown,FALSE
crab,shellfish,protein,FALSE
crustacean-shellfish,crustacean-shellfish,allergen,TRUE
culotte,unknown,unknown,FALSE
customer-favorite,unknown,unknown,FALSE
dairy,dairy,allergen,TRUE
dairy-free,unknown,unknown,FALSE
duck,poultry,protein,FALSE
duck-ground,poultry,protein,FALSE
easy,difficulty,miscellaneous,FALSE
egg,egg,allergen,TRUE
european,european,cuisine,TRUE
exotic,reference,miscellaneous,FALSE
fall,season,miscellaneous,FALSE
family-friendly,addition,miscellaneous,FALSE
fast + fun,addition,miscellaneous,FALSE
featured-favorite,unknown,unknown,FALSE
fish,fish,protein,TRUE
fish (allergen),fish (allergen),allergen,TRUE
flat-iron,unknown,unknown,FALSE
flounder,fish,protein,FALSE
for-the-grill,cooking-method,miscellaneous,FALSE
french,french,cuisine,TRUE
gluten,gluten,allergen,TRUE
good-for-groups,unknown,unknown,FALSE
ground,unknown,unknown,FALSE
ground-beef,beef,protein,FALSE
heart-healthy,unknown,unknown,FALSE
high-calorie-800,calorie,nutrition,FALSE
high-familiarity,familiarity,miscellaneous,FALSE
high-fiber,unknown,unknown,FALSE
holiday hack,unknown,unknown,FALSE
hot-dish,dish-type,miscellaneous,FALSE
indian,indian,cuisine,TRUE
italian,italian,cuisine,TRUE
lamb,lamb,protein,TRUE
lamb-chop,lamb,protein,FALSE
lamb-ground,lamb,protein,FALSE
latin-american,latin-american,cuisine,TRUE
loose-grain,vegetarian,protein,FALSE
low-calorie,calorie,nutrition,FALSE
low-carb,carb,nutrition,FALSE
low-cholesterol,cholesterol,nutrition,FALSE
low-familiarity,familiarity,miscellaneous,FALSE
low-fat,unknown,unknown,FALSE
low-sodium,unknown,unknown,FALSE
med-familiarity,familiarity,miscellaneous,FALSE
mediterranean,mediterranean,cuisine,TRUE
medium,difficulty,miscellaneous,FALSE
mexican,mexican,cuisine,TRUE
middle-eastern,middle-eastern,cuisine,TRUE
milk,milk,allergen,TRUE
no-cook,unknown,unknown,FALSE
no-gluten,no-gluten,allergen,TRUE
non-chicken-poultry,poultry,protein,FALSE
nordic,nordic,cuisine,TRUE
nuts,nuts,allergen,TRUE
one-dish,unknown,unknown,FALSE
other,unknown,unknown,FALSE
oven-and-stove,cooking-method,miscellaneous,FALSE
oven-only,cooking-method,miscellaneous,FALSE
paleo,unknown,unknown,FALSE
pancetta,unknown,unknown,FALSE
past-favorite,unknown,unknown,FALSE
pasta,vegetarian,protein,FALSE
peanuts,peanuts,allergen,TRUE
plated-steak,beef,protein,FALSE
pollock,fish,protein,FALSE
pork,pork,protein,TRUE
pork-belly,pork,protein,FALSE
pork-chop,pork,protein,FALSE
pork-ground,pork,protein,FALSE
pork-rib,pork,protein,FALSE
pork-sausage,pork,protein,FALSE
pork-tenderloin,pork,protein,FALSE
poultry,poultry,protein,TRUE
prosciutto,pork,protein,FALSE
protein-rich,unknown,unknown,FALSE
quail,unknown,unknown,FALSE
quick-cook,addition,miscellaneous,FALSE
redfish,fish,protein,FALSE
rockfish,fish,protein,FALSE
salmon,fish,protein,FALSE
sausage,pork,protein,FALSE
saveur,unknown,unknown,FALSE
scallop,shellfish,protein,FALSE
sheet-pan,unknown,unknown,FALSE
shellfish,shellfish,protein,TRUE
short-rib,pork,protein,FALSE
shrimp,shellfish,protein,FALSE
skate,unknown,unknown,FALSE
sole,unknown,unknown,FALSE
soy,soy,allergen,TRUE
spanish-spain,european,cuisine,FALSE
spice optional,taste,miscellaneous,FALSE
spicy,taste,miscellaneous,FALSE
spring,season,miscellaneous,FALSE
steak,beef,protein,FALSE
steak-flank,beef,protein,FALSE
steak-flatiron,beef,protein,FALSE
steak-skirt,beef,protein,FALSE
stovetop-only,cooking-method,miscellaneous,FALSE
sulfites,sulfites,allergen,TRUE
summer,season,miscellaneous,FALSE
sweet,taste,miscellaneous,FALSE
swordfish,fish,protein,FALSE
tastemakers,unknown,unknown,FALSE
test-kitchen-pick,unknown,unknown,FALSE
tilapia,fish,protein,FALSE
tilefish,fish,protein,FALSE
tofu,vegetarian,protein,FALSE
tree nuts,unknown,unknown,FALSE
trout,fish,protein,FALSE
turkey,poultry,protein,FALSE
turkey thigh,poultry,protein,FALSE
turkey-ground,poultry,protein,FALSE
turkey-sausage,poultry,protein,FALSE
twist,reference,miscellaneous,FALSE
veal,beef,protein,FALSE
vegetarian,vegetarian,protein,TRUE
wheat,wheat,allergen,TRUE
whole grain,unknown,unknown,FALSE
wholesome,unknown,unknown,FALSE
winter,season,miscellaneous,FALSE
